Pileated Woodpecker,1,0
Ivory-billed Woodpecker,6,0
Collared Forest-Falcon,5,0
Crested Caracara,2,0
Eurasian Kestrel,4,0
American Kestrel,1,0
Red-footed Falcon,5,0
Merlin,1,0
Eurasian Hobby,4,0
Aplomado Falcon,3,0
Gyrfalcon,2,0
Peregrine Falcon,1,0
Prairie Falcon,1,0
Monk Parakeet,2,1
Carolina Parakeet,6,0
Nanday Parakeet,2,1
Green Parakeet,2,1
Thick-billed Parrot,6,0
Yellow-chevroned Parakeet,2,0
White-winged Parakeet,2,1
Red-crowned Parrot,2,1
Rose-ringed Parakeet,2,0
Rosy-faced Lovebird,2,1
Masked Tityra,5,0
Gray-collared Becard,5,0
Rose-throated Becard,3,0
Northern Beardless-Tyrannulet,2,0
Greenish Elaenia,5,0
White-crested Elaenia,5,0
Dusky-capped Flycatcher,2,0
Ash-throated Flycatcher,1,0
Nutting's Flycatcher,5,0
Great Crested Flycatcher,1,0
Brown-crested Flycatcher,1,0
La Sagra's Flycatcher,3,0
Great Kiskadee,2,0
Social Flycatcher,5,0
Sulphur-bellied Flycatcher,2,0
Piratic Flycatcher,4,0
Variegated Flycatcher,5,0
Crowned Slaty Flycatcher,5,0
Tropical Kingbird,2,0
Couch's Kingbird,2,0
Cassin's Kingbird,1,0
Thick-billed Kingbird,2,0
Western Kingbird,1,0
Eastern Kingbird,1,0
Gray Kingbird,2,0
Loggerhead Kingbird,5,0
Scissor-tailed Flycatcher,1,0
Fork-tailed Flycatcher,3,0
Tufted Flycatcher,4,0
Olive-sided Flycatcher,1,0
Greater Pewee,2,0
Western Wood-Pewee,1,0
Eastern Wood-Pewee,1,0
Cuban Pewee,5,0
Yellow-bellied Flycatcher,1,0
Acadian Flycatcher,1,0
Alder Flycatcher,1,0
Willow Flycatcher,1,0
Least Flycatcher,1,0
Hammond's Flycatcher,1,0
Gray Flycatcher,1,0
Dusky Flycatcher,1,0
Pine Flycatcher,5,0
Pacific-slope Flycatcher,1,0
